Candidato,Sector,Coeficiente,Votos,Resultado
"ARANDA RAMÍREZ, MARÍA PILAR",PROFESORADO DOCTOR VINCULACIÓN PERMANENTE,"0,028219",1313,"37,05"
"ARANDA RAMÍREZ, MARÍA PILAR",ESTUDIANTES,"0,002285",7862,"17,97"
"ARANDA RAMÍREZ, MARÍA PILAR",PERSONAL ADMINISTRACION Y SERVICIOS,"0,007251",1088,"7,89"
"ARANDA RAMÍREZ, MARÍA PILAR",RESTO PDI,"0,007874",362,"2,85"
"ARANDA RAMÍREZ, MARÍA PILAR",PROFESORADO FUNCIONARIO NO DOCTOR,"0,0338",33,"1,12"
"ARANDA RAMÍREZ, MARÍA PILAR",PROFESORADO ASOCIADO CIENCIAS SALUD,"0,017544",12,"0,21"
"ARANDA RAMÍREZ, MARÍA PILAR",PER. INVES. FORMACIÓN Y PERFECCIONAMIENTO,"0,004146",168,"0,7"
"ARANDA RAMÍREZ, MARÍA PILAR",PROFESORADO EMÉRITO,"0,016667",7,"0,12"
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",PROFESORADO DOCTOR VINCULACIÓN PERMANENTE,"0,028219",647,"18,26"
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",ESTUDIANTES,"0,002285",3077,"7,03"
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",PERSONAL ADMINISTRACION Y SERVICIOS,"0,007251",567,"4,11"
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",RESTO PDI,"0,007874",146,"1,15"
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",PROFESORADO FUNCIONARIO NO DOCTOR,"0,0338",17,"0,57"
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",PROFESORADO ASOCIADO CIENCIAS SALUD,"0,017544",45,"0,79"
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",PER. INVES. FORMACIÓN Y PERFECCIONAMIENTO,"0,004146",37,"0,15"
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",PROFESORADO EMÉRITO,"0,016667",2,"0,03"
